username,country,score,date_written,positive,negative,tags,hotel
Arantxa,España,9.0,Escrito en 20 de noviembre de 2025,"Nos hospedamos con nuestra mascota y la sorpresa fue que nos pusieron una camita, y boles para la comida y elagua además de un poco de comida. Todo un detalle. Gracias.",,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Maria,España,8.0,Escrito en 16 de noviembre de 2025,"Bien ubicado. Bastante nuevo, la habitación principal cómoda.","Sofá cama incómodo y no dejan ropa de abrigo (mantas, etc) en noviembre. La falta de personal hace perder calidez a la estancia y detalles como poder dejar el coche en el parking un ratito más resulten imposibles.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Rocio,España,10.0,Escrito en 16 de noviembre de 2025,"Estaba todo muy limpio, lo cual se agradece muchísimo, pack de bienvenida, más que de agradecer se nota la calidad de la habitación solo entrar. Para nosotros un 10, de echo, volvemos en una dos o tres semanas",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Marisa,España,9.0,Escrito en 15 de noviembre de 2025,"Muy buena ubicación, comodidad y buen trato",La única pega el sofá cama,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Miriam,España,8.0,Escrito en 9 de noviembre de 2025,"La ubicación, se aparca fácil por la zona. Para ir en familia haces uso de la cocina y lavadora.","No había detergente para la lavadora ni lavavajillas, pedimos y no les quedaba. En 7 días no pasaron a limpiar ninguna vez.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']",Vitoria
Sheila,España,9.0,Escrito en 4 de septiembre de 2025,Está muy equipado,Le faltaba un poco más de papel higiénico,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Rafael,España,9.0,Escrito en 1 de septiembre de 2025,La ubicación,El sofá cama muy ruidoso,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Laura,España,9.0,Escrito en 1 de septiembre de 2025,"Muy bien situado, apartamento cómodo y con todo lo necesario para pasar unos dias (horno, microondas, lavadora...)",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Juan,España,8.0,Escrito en 31 de agosto de 2025,La ubicación.,Nos dieron habitación a una zona interior,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Ocaña,España,9.0,Escrito en 30 de agosto de 2025,Muy buena ubicación. Instalaciones nuevas y modernas. Muy acogedoras y a 5 minutos del centro de la ciudad.,"Es sofá cama es muy incómodo e inapropiado para un establecimiento de estas características. El desayuno lo sirven en una cafetería independiente enfrente del edificio de apartamentos, aunque es cierto que desayunamos estupendamente.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gonzalo,España,9.0,Escrito en 30 de agosto de 2025,"Limpieza, acceso, ubicación",El colchón no era muy cómodo,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Enrique,España,10.0,Escrito en 30 de agosto de 2025,"Ubicación muy buena, apartamento muy cómodo y excelente para viajar con perro",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Rincon,España,9.0,Escrito en 30 de agosto de 2025,La instalación  y la atención muy bien.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Carol,España,8.0,Escrito en 29 de agosto de 2025,"Todo impecable, limpio, cómodo, bonito, muy céntrico, acceso fácil y automatizado...",La única pega es que me parece caro.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Blanca,España,10.0,Escrito en 29 de agosto de 2025,"Limpieza, ubicación y silencio",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Laura,España,9.0,Escrito en 29 de agosto de 2025,La limpieza y ubicación.,Se echa en parte una cara visible del alojamiento.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches']",Vitoria
Omisae,España,10.0,Escrito en 29 de agosto de 2025,La limpieza,,"['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 12 noches', '•Enviado por móvil']",Vitoria
Carlos,España,8.0,Escrito en 28 de agosto de 2025,Ubicación,La cama del sofá,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gabriela,España,9.0,Escrito en 28 de agosto de 2025,"La comodidad del apartamento. Acogedor y amplio
Su ubicación.","El check-in,  para mi gusto, un poco tarde, hasta las 15:00h no es posible entrar y sin posibilidad de dejar las maletas en el hotel si llegas antes.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Gilberto,España,10.0,Escrito en 28 de agosto de 2025,La comodidad y amplitud de las estancias,Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Carlos,España,9.0,Escrito en 27 de agosto de 2025,"Muy cerca del centro, limpio y comodo",El sistema de apertura con código es incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Manuel,España,9.0,Escrito en 27 de agosto de 2025,"Está ubicado en una zona tranquila donde se encuentra fácilmente aparcamiento. Además, está a 10 minutos andando del centro.",El sofá cama no es cómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Eduardo,España,8.0,Escrito en 25 de agosto de 2025,La amplitud,No te ayudan con el check in,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Estrella,España,8.0,Escrito en 25 de agosto de 2025,"La ubicación, limpieza del apartamento, silencia y desayuno","Por ponerle una pega, cuando abres el sofá cama queda muy estrecho y no se puede pasar","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Rubio-bañón,España,8.0,Escrito en 25 de agosto de 2025,Las instalaciones eran muy buenas y muy céntrico,"La limpieza del apartamento, estuvimos cinco noches y no nos cambiaron las toallas ni limpiaron la habitación.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']",Vitoria
Elena,España,8.0,Escrito en 23 de agosto de 2025,"El personal fue muy amable  y la ubicación es fantástica. A 10 minutos  a pie del centro histórico de Vitoria.
El apartamento para 5 personas es espacioso y estaba muy limpio.",El sofa-cama es bastante incómodo para dormir en él. Tuve que pedir material de limpieza como pastilla para el lavavajillas y trapo de cocina porque no estaba en la habitación. Aunque es verdad que la recepcionista me los proporcionó inmediatamente.,"['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Loli,España,8.0,Escrito en 23 de agosto de 2025,"La ubicacion y que aunque haya parking, se puede aparcar con suerte fuera
El apartamento está nuevo y tiene de casi todo","Que no tuviera una escoba para poder recoger lo básico, ni escobilla de wc, así como algo para fregar los cacharros, cosa que hoy día hay en casi todos los apartamentos turísticos
En mi caso con pelo largo he tenido que recoger los pelos con algo de papel","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Andrea,España,9.0,Escrito en 23 de agosto de 2025,"Me pareció muy cómodo el check-in online y autónomo. Muy bien el parking en el edificio. Genial ubicación, muy cómoda.
El apartamento bien decorado y equipado, para unos días genial.","Difícil contar con alguien si se necesita, demasiado autónomo todo. Vistas feas","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Laura,España,10.0,Escrito en 23 de agosto de 2025,"Es un edificio entero dividido en apartamentos. Hay personal de asistencia durante el día, en recepción, y asistencia on line o telefónica por la noche. En todo momento, nuestras dudas fueron resueltas. Las instalaciones son nuevas, de excelente calidad, insonorizado todo y la limpieza excelente. Y la ubicación es perfecta. Es una avenida grande con comercio y lugares donde desayunar. En 5 minutos andando se accede al casco viejo de Vitoria.","Éramos cuatro y, para el sofá cama, sólo había 1 almohada. El colchón se hundía un poco hacia el centro, pero estuvimos sólo una noche y es asumible.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']",Vitoria
Amelia,España,8.0,Escrito en 22 de agosto de 2025,Que estaba muy limpio y era todo nuevo y espacioso.,"Que no había ningún utensilio para la limpieza del hogar, escoba, mocho, bayeta, ademanes había un lavaplatos pero no había ninguna pastilla, ni estropajo ni jabón para lavar los platos, por lo que si querías barrer o fregar tenías que comprar las cosas para hacerlo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Jose,España,8.0,Escrito en 31 de julio de 2025,La ubicación y la limpieza,"Que éramos 2 parejas y había dos camas,una de matrimonio y una pequeña. Una persona  tuvo q dormir en el sofá cama","['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Juan,España,10.0,Escrito en 29 de julio de 2025,Proximidad con el centro,Parking muy justo para coche grande,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Javier,España,10.0,Escrito en 28 de julio de 2025,Apartamento muy limpio y cómodo. A 20 minutos andando del centro. Aparcamiento gratuito en calles próximas.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Rut,España,8.0,Escrito en 28 de julio de 2025,El apartamento en sí,Los colchones,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Jesus,España,9.0,Escrito en 28 de julio de 2025,La ubicación y la limpieza,"el sofa cama era muy blando para dormir, muy incómodo","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Carolina,España,7.0,Escrito en 28 de julio de 2025,La situación y las instalaciones.,"Que todo fuera por la aplicación o por mail, aunque puedes llamarlos del telefonillo de la entrada, por nosotros no, pero vimos gente mayor liada. La relación calidad-precio es excesiva. No vino nadie a limpiar y todavía no tengo claro si es por no pedirlo por la aplicación. Te dejaban un kit de limpieza, pero era escaso para los 5 días que íbamos. Y lo peor es la wifi compartida, va fatal y además la televisión no es smart, y no hubo manera de conectar el crome cast por la wifi, lo comunicamos y nada.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Jose,España,9.0,Escrito en 27 de julio de 2025,Ubicación y equipamiento,"La nevera, por la parte posterior, a veces vibraba en exceso","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Sara,España,9.0,Escrito en 27 de julio de 2025,"Un apartamento bonito y moderno ideal para viajar una familia de cuatro miembros algunos días. Equipada con una cocina totalmente nueva con todos los pequeños electrodomésticos modernísimos. 
Cuenta con un dormitorio con armario y cómoda de tres cajones y una cama muy confortable, tanto colchón como almohadas. El sofá cama del salón quizás no tan cómodo, pero adecuado para dos niños o adolescentes.","Echamos en falta más luz artificial sobre todo en el baño y la falta estropajo, bayeta, una escoba con recogedor y fregona con cubo para mantener limpio el apartamento durante nuestra estancia.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Sergio,España,9.0,Escrito en 26 de julio de 2025,"Es un apartahotel muy comodo, bien ubicado y muy limpio. Con cocina bien equipada. Los muebles y el apartamento muy nuevo. Se entra fácil de manera on lline, con la clave que te envían o su aplicación. Y el garage, aunque de pago, es un punto a favor de la instalación.","Por decir algo, que no había cafetera en la cocina.
La echamos en falta.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Pedro,España,8.0,Escrito en 25 de julio de 2025,"Muy nuevo y todo lo necesario para unos dias, buena ubicación.",El sofá cama muy incómodo para dos personas,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Laura,España,9.0,Escrito en 25 de julio de 2025,Luminoso..céntrico..muy bien equipado..nos obsequiaron con dos botellas de agua y un snack y un pack de limpieza..cama y sofá cama muy cómodo..no vimos a nadie del personal..rodeado de bares y cafeterías muy ricas,Tuvimos un poco de dificultad al abrir la puerta del edificio pero se resolvió sin problema,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Ceballos,España,8.0,Escrito en 25 de julio de 2025,,No me gustó que no tienen persianas y entra claridad a las habitaciones.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Maria,España,7.0,Escrito en 25 de julio de 2025,"Muy bien ubicado, muy bien equipado, con lavadora, lavavajillas, horno microondas... decoración muy moderna y apartamento amplio, cafeterías para desayunar y en la misma calle hay zona de aparcamiwnto gratuito.",Que el sofá  se hundía cuando te sentabas y las tapicerias de sillones y cojines estaba con cercos de manchas al igual.que una de las fundas de almohada interiores que tenia unos cercos amarillos increibles de suciedad.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Noelia,España,9.0,Escrito en 25 de julio de 2025,Estaba muy cuidado.,Que no tuviera una escoba ni fregona,"['•Familia con niños pequeños', '•Apartamento con terraza', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
M,España,8.0,Escrito en 25 de julio de 2025,"Esta a 10 mins de la catedral de Vitoria, es una finca de pisos turísticos que están muy limpios y nuevos y se accede con código",El sofá cama era horrible....no es nada intuitivo para abrirlo y se cerraba cada dos por tres..no descansaron nada las personas que durmieron ahí,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
María,España,8.0,Escrito en 25 de julio de 2025,"Bonito, buena ubicación, cocina bien equipada, buen detalle de bienvenida y el kit de limpieza.","Eché de menos una escoba y recogedor en el apartamento para el día a día a parte de la limpieza que se haga por parte de la empresa.
El sofá cama es incómodo para dormir más de un día.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Aurora,España,8.0,Escrito en 25 de julio de 2025,"Mal el horario de entradas,,debe ser cuando el cliente llegue, sea 8hs , 12"",,,,o 3de la mañanas, cada usuario es diferente y su estancia termina en 24hs, no cuando ustedes digan,,un  hotel está para éso dar servicio de hospedaje, no a su conveniencia,, mucho ruido las hb de frente a la calle gastéiz,,debería tener otro tipo de ventanas.","Garaje y desayunos, por el precio de estancia, debería incluir","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Teresa,España,7.0,Escrito en 24 de julio de 2025,"La ubicación y la comodidad de tener parking a 14€/día. Estaba todo muy bien equipado, con un kit de bienvenida y un kit de limpieza, el apartamento tiene todo lo necesario para estar en Vitoria unos días. Para los precios que hay de alojamientos en el País Vasco en general, este está muy bien.",El check in y todo el acceso al hotel es digital. Tener que estar poniendo el código para abrir cada puerta es un poco jaleo pero bueno. El sofá cama deberían renovarlo...,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Monica,España,7.0,Escrito en 24 de julio de 2025,Ubicación y lavabo y cama habitación muy cómoda,"Sofá cama incómodo, aire solo iba en la habitación y faltaba la plancha para la ropa","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Alberto,España,10.0,Escrito en 23 de julio de 2025,"Espectacular apartamento, nuevo,bien equipado ,muy limpio, centrico",Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Samaniegomiron,España,7.0,Escrito en 22 de julio de 2025,"El apartamento muy bonito, amplio, bien decorado y equipado con casi de todo, bien climatizado, las camas cómodas, incluso el sofá cama, lo mejor la ubicación y el parking al lado aunque debes contratarlo como extra.","Todos los extras que hay, si quieres que te cambien las sabanas y toallas un extra de 37 euros, no había cepillo ni recogedor para barrer pequeñas cosas supongo para que se necesite contratar el servicio de limpieza extra.El sistema de acceso con códigos da muchos problemas, nos fallaba mucho.El menaje de la cocina es muy escaso, solo había un cazo una cazuela grande y un escurridor de pasta, se hubiera agradecido tener una pequeña sartén para hacer una tortilla.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 6 noches']",Vitoria
Texenery,España,9.0,Escrito en 22 de julio de 2025,Es muy cómodo y moderno.,Ni un mísero detalle en la habitación. El sofá cama bastante incómodo.,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche']",Vitoria
Maria,España,10.0,Escrito en 21 de julio de 2025,"Todo perfecto, muy limpio y todo muy bien organizado. esta a 15 minutos del centro caminando.",Me gusto todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Carlos,España,10.0,Escrito en 21 de julio de 2025,"Ubicacion espectacular, sin necesidad de coger transporte para vsisitar la ciudad.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches']",Vitoria
Maria,España,9.0,Escrito en 21 de julio de 2025,Camas y diseño,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Aurora,España,10.0,Escrito en 26 de mayo de 2025,Perfecta ubicación. Perfectas las instalaciones,Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Jose,España,8.0,Escrito en 26 de mayo de 2025,Era bastante funcional y estaba muy limpio.  Andando se iba al centro en 10 minutos y tenías de todo alrededor.,"La insonorizacion de la ventana del dormitorio no era demasiado buena.  Hubo un problema con una alarma que se encendió en el pasillo en el que estábamos y nadie vino a informar que pasaba.  Al día siguiente en recepción tampoco sabían que había ocurrido.  Ni se habían enterado del suceso,  lo cual me da que pensar en el sistema de seguridad si ocurre algo de verdad.","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Rebeca,España,9.0,Escrito en 25 de mayo de 2025,"La atención del personal excelente, muy amables. 
La ubicación. Apartamento moderno y bonito.","Por decir algo el sofá cama se movía un poco, pero era muy comodo.","['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Oihane,España,7.0,Escrito en 25 de mayo de 2025,,No los iba la clave de abajo,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
