hotel,username,country,score,date_written,positive,negative,tags
BilbaoMuseo,Pilar,España,9.0,Escrito en 31 de agosto de 2025,"Ubicación excelente, muy cómodo... pudimos adelantar la entrada a las 12 por una suplemento...",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Laura,España,9.0,Escrito en 30 de agosto de 2025,"Me gusto Todo, ubicacion, limpieza, decoracion, menaje, comodidad, bonito, situacion. Muy bien, nos gusto mucho. Original, practico, limpio, moderno. Muy bien situado, se puede ir andando a los principales sitios que hay que ver. Te dejan como detalle al entrar, agua, patatas y un folleto con recomendaciones de sitios para ver y comer.",El ascensor...que era lentiiiiiiisimo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Eduardo,España,9.0,Escrito en 28 de agosto de 2025,Ubicación y todo nuevo,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Ana,España,9.0,Escrito en 24 de agosto de 2025,Ubicación y limpieza,,"['•Viaje de ocio', '•Grupo de amigos', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Celia,España,9.0,Escrito en 28 de julio de 2025,"Esta muy bien ubicado, tiene buenas vistas, los apartamentos están muy nuevos y bien decorados, es todo muy práctico y tienen todo lo necesario",Todo estuvo muy bien,"['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Maria,España,8.0,Escrito en 17 de mayo de 2025,"Muy buena ubicación, muy amplio y muy limpio","En general bien dotado pero: no había servilletas ni rollo de cocina, (y poco papel higiénico!).
La ducha y el lavabo no desaguan bien","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Daniela,España,7.0,Escrito en 5 de mayo de 2025,"La ubicación es estupenda. Justo en frente del Guggenheim y a minutos de la zona del Río y de muchos restaurantes y cafés. Además, el apartamento es muy nuevo y con vistas al Guggenheim. El baño es amplio y muy cómodo.","Los colchones era muy incómodos y el apartamento habría sido perfecto de tamaño para dos, pero éramos dos adultos y dos niños pequeños y se nos ha hecho un poco pequeño. Tampoco nos ha parecido bien el hecho de abonar 15 euros por acceder al apartamento dos horas antes de la hora de check-in estando el apartamento disponible. Tampoco nos dieron facilidades para dejar las maletas.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
BilbaoMuseo,Alberto,España,7.0,Escrito en 29 de abril de 2025,La ubicación estaba bien,La tostadora no funciona.  El lavavajillas no funciona. Falta mucho menaje de cocina. El sofá cama bastante incómodo.,"['•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Maria,España,7.0,Escrito en 21 de abril de 2025,La ubicación y la decoración del apartamento,"Que se oyen todos los ruidos, está muy mal aislado. Que el baño no estaba muy limpio cuando llegamos.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
BilbaoMuseo,Laura,España,8.0,Escrito en 30 de marzo de 2025,"Muy buena ubicación. Apartamentos muy limpios, bien equipados y amplios. Como punto a mejorar el sofá cama, el colchón es demasiado fino y suena mucho al moverse.",,"['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Eva,España,7.0,Escrito en 27 de marzo de 2025,El sofá cama incomodisimo. Y si vas 4 persona solo dejan agua y patatas para dos...,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Daniel,España,8.0,Escrito en 23 de marzo de 2025,Los detalles y que están muy bien equipados. Agradezco como se comportaron con nosotros en relación a nuestras peticiones.,La lentitud del ascensor y los colchones.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Ana,España,8.0,Escrito en 14 de marzo de 2025,La ubicación y la limpieza,Le falta microondas y faltaba luz para poder marcar el código de entrada del portal,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Maria,España,9.0,Escrito en 24 de febrero de 2025,"Todo, sobretodo su ubicación",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
BilbaoMuseo,Marta,España,9.0,Escrito en 31 de enero de 2025,Está en frente del Guggenheim y es super céntrico. El apartamento genial.,El sofá era un poco incómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Enrique,España,8.0,Escrito en 30 de enero de 2025,La ubicación,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
BilbaoMuseo,James,Perú,9.0,Escrito en 13 de enero de 2025,"Muy buena ubicacion, muy cerca al puente Zubizuri y al museo guggenheim. El piso esta muy amplio, con buena cocina, habitaciones comodas. Muy bueno para familias.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches']"
BilbaoMuseo,Mario,España,7.0,Escrito en 4 de enero de 2025,Cómodo y bien situadop,Hacía frío. Y algunos utiles y elementos necesitarían recambio,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
BilbaoLaVieja,Anna,España,9.0,Escrito en 19 de noviembre de 2025,"La ubicación es perfecta, estabamoa a 10 minutos andando del centro del casco viejo de Bilbao y al igual del rio Nervion, una maravilla.
Dentro del estudio fue todo perfecto, esta bien equipado para cocinar, lavar... sin necesidad de moverse del estudio",,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
BilbaoLaVieja,Lorena,España,8.0,Escrito en 27 de octubre de 2025,Estaba muy limpio todo y nuevas las instalaciones. Fuimos 6 personas y la perrita y el apartamento era amplio.,"El sofá cama muy incómodo. Y se fue la luz unas cuantas veces por la tarde noche al igual que a los vecinos de al lado. 
Además no nos dejaron papel higiénico en ningún baño, por lo demás bien estaba muy limpio y cuidado todo.","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Maria,España,7.0,Escrito en 5 de octubre de 2025,"Muy buena ubicación y servicios, muy limpio , todo muy completo , el sofá cama no es cómodo , las camas de las habitaciones muy bien",Sofá cama no es cómodo para dormir,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Cristina,España,8.0,Escrito en 25 de agosto de 2025,Es cómodo y muy limpio.,"Para llegar con maletas andando, la zona está en cuesta. Pero el apartamento tiene ascensor y es cómodo.","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Alberto,España,9.0,Escrito en 13 de agosto de 2025,"Limpio,bien aprovechado el espacio y bien ubicado",Al ser un estudio se quedaba un poco pequeño para dos personas y una mascota.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoLaVieja,M,España,8.0,Escrito en 20 de julio de 2025,"Tiene un par de supermercados alrededor, en pocos minutos a pie tienes el Mercado de la Ribera y el casco viejo, y también al otro lado el Bilbao Arena.",El sofá cama es horrible como sofá. Como cama no lo probamos. Está en el borde de una zona un poco regular con mucha inmigración.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 6 noches', '•Enviado por móvil']"
BilbaoLaVieja,Isabel,España,7.0,Escrito en 14 de julio de 2025,"Apartamento limpio y cerca del centro,bien equipado","El sofá cama era horrible, imposible dormir en él. La localización es buena pero no el barrio en el q se encuentra. Vimos una pelea con barra de metal, gritos, vecinos tirando basura a la calle.....hay q tener cuidado por la zona","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 4 noches', '•Enviado por móvil']"
BilbaoLaVieja,Marta,España,7.0,Escrito en 29 de junio de 2025,,El sofá-cama es un poco incómodo,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Alejandro,España,9.0,Escrito en 24 de junio de 2025,Todo correcto buena ubicación,Lo complicado de aparcar si vienes con coche,"['•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoLaVieja,Francisca,España,7.0,Escrito en 11 de junio de 2025,Comodidad,No tenía platos para poder comer y las instalaciones estaban sucias.,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Pablo,Panamá,7.0,Escrito en 9 de junio de 2025,me gusto que hayan considerado los perritos que al final no los lleve.pero habian preparado todo,"el sofa cama muy malo, siendo 4 personas solo nos dejaron 2 capsulas de cafe","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche']"
BilbaoLaVieja,Almudena,España,8.0,Escrito en 22 de mayo de 2025,La limpieza y la ubicación,Las sartenes que tenían no eran aptas para la vitro y no pudimos cocinar,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches']"
BilbaoLaVieja,Mónica,España,7.0,Escrito en 18 de mayo de 2025,"Limpieza del apartamento.
Habitaciones amplias y 2 baños",Ubicación y poco sitio para aparcar,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoLaVieja,Marina,España,9.0,Escrito en 1 de mayo de 2025,"La limpieza 
La localización 
Los detalles de regalo
La gestión de check in y check out",Las almohadas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
